"Descripcion";"Biblioteca"
"ALCALÁ DE HENARES. Bibliotecas Municipales Alcalá";"RBMALC"
"ALCOBENDAS. Mediatecas de Alcobendas";"RBMALB"
"ALCORCÓN. Bibliotecas Municipales de Alcorcón";"RBMALR"
"GETAFE. Red de Bibliotecas Municipales de Getafe";"RBMGET"
"MÓSTOLES. Bibliotecas Municipales";"RBMMOS"
"SAN FERNANDO DE HENARES. Bibliotecas Municipales de San Fernando de Henares";"RBMSFH"
"TORREJÓN DE ARDOZ. Bibliotecas Municipales de Torrejón de Ardoz";"RBMTOR"
"Biblioteca Regional de Madrid Joaquín Leguina";"BRCM  "
"MADRID. Bibliotecas Públicas";"BPM   "
"Servicios de Extensión Bibliotecaria";"MUNI  "
"Bibliotecas escolares";"BESC  "
"CAMARMA DE ESTERUELAS. Biblioteca Municipal de Camarma de Esteruelas";"RBMCAE"
"ALGETE. Biblioteca Municipal de Algete";"RBMALG"
"ALPEDRETE. Biblioteca Municipal de Alpedrete";"RBMALP"
"BOADILLA DEL MONTE. Bibliotecas Municipales de Boadilla del Monte";"RBMBOA"
"CABRERA. Biblioteca Municipal de La Cabrera";"RBMCBR"
"CHAPINERÍA. Biblioteca Municipal de Chapinería";"RBMCHP"
"CHINCHÓN. Biblioteca Municipal de Chinchón";"RBMCHI"
"CIEMPOZUELOS. Biblioteca Municipal de Ciempozuelos";"RBMCIE"
"FUENTE EL SAZ. Biblioteca Municipal de Fuente el Saz de Jarama";"RBMFSZ"
"GRIÑÓN. Biblioteca Municipal de Griñón";"RBMGRI"
"GUADARRAMA. Biblioteca Municipal de Guadarrama";"RBMGDR"
"MECO. Biblioteca Municipal de Meco";"RBMMEC"
"MEJORADA DEL CAMPO. Biblioteca Municipal de Mejorada del Campo";"RBMMEJ"
"MORALZARZAL. Biblioteca Municipal de Moralzarzal";"RBMMRZ"
"PARACUELLOS DE JARAMA. Biblioteca Municipal de Paracuellos de Jarama";"RBMPAJ"
"RIVAS VACIAMADRID. Bibliotecas Municipales de Rivas Vaciamadrid";"RBMRVM"
"ROBLEDO DE CHAVELA. Biblioteca Municipal de Robledo de Chavela";"RBMROB"
"SAN MARTÍN DE LA VEGA. Biblioteca Municipal de San Martín de la Vega";"RBMSMV"
"SAN MARTÍN DE VALDEIGLESIAS. Biblioteca Municipal de San Martín de Valdeiglesias";"RBMSMI"
"SOTO DEL REAL. Biblioteca Municipal de Soto de Real";"RBMSOT"
"TALAMANCA DE JARAMA. Biblioteca Municipal de Talamanca de Jarama";"RBMTAL"
"TORRELAGUNA. Biblioteca Municipal";"RBMTRG"
"VELILLA DE SAN ANTONIO. Biblioteca Municipal de Velilla de San Antonio";"RBMVEL"
"VILLA DEL PRADO. Biblioteca Municipal de Villa del Prado";"RBMVIP"
"VILLANUEVA DEL PARDILLO. Biblioteca Municipal de Villanueva del Pardillo";"RBMVIL"
"ALAMO. Biblioteca Municipal de El Álamo";"RBMALM"
"EL ESCORIAL. Biblioteca Municipal de El Escorial";"RBMELE"
"SEVILLA LA NUEVA. Biblioteca Municipal de Sevilla la Nueva";"RBMSEV"
"FUENLABRADA. Bibliotecas Municipales de Fuenlabrada";"RBMFLB"
"CADALSO DE LOS VIDRIOS. Biblioteca Municipal";"RBMCAD"
"EL MOLAR. Biblioteca Municipal de El Molar";"RBMELM"
"GALAPAGAR. Biblioteca Municipal de Galapagar";"RBMGAL"
"ARANJUEZ. Biblioteca Municipal de Aranjuez";"RBMARA"
"BUITRAGO DE LOZOYA. Biblioteca Municipal";"RBMBUI"
"BUSTARVIEJO. Biblioteca Municipal";"RBMBUS"
"COBEÑA. Biblioteca Municipal";"RBMCOB"
"COLLADO MEDIANO. Biblioteca Municipal";"RBMCOM"
"LOECHES. Biblioteca Municipal";"RBMLOE"
"MANZANARES EL REAL. Biblioteca Municipal";"RBMMAN"
"MORATA DE TAJUÑA. Biblioteca Municipal";"RBMMRT"
"NAVAS DEL REY. Biblioteca Municipal";"RBMNVR"
"TIELMES. Biblioteca Municipal";"RBMTIE"
"TORRES DE LA ALAMEDA. Biblioteca Municipal";"RBMTRA"
"GUADALIX DE LA SIERRA. Biblioteca Municipal";"RBMGUA"
"DAGANZO DE ARRIBA. Biblioteca Municipal";"RBMDAG"
"PEDREZUELA. Biblioteca Municipal";"RBMPED"
"TORREJÓN DE LA CALZADA. Biblioteca Municipal";"RBMTRC"
"COLMENAR DE OREJA. Biblioteca Municipal";"RBMCOL"
"MORALEJA DE ENMEDIO. Biblioteca Municipal";"RBMMOR"
"CAMPO REAL. Biblioteca Municipal";"RBMCAM"
"COLMENAREJO. Biblioteca Municipal";"RBMCJO"
"EL BOALO. Biblioteca Municipal";"RBMELO"
"HUMANES DE MADRID. Biblioteca Municipal de Humanes de Madrid";"RBMHUM"
"VALDEMORILLO. Biblioteca Municipal de Valdemorillo";"RBMVDM"
"VILLALBILLA. Bibliotecas Municipales de Villalbilla";"RBMVIB"
"VILLANUEVA DE LA CAÑADA. Biblioteca Municipal de Villanueva de la Cañada";"RBMVNV"
"SAN AGUSTÍN DE GUADALIX. Biblioteca Municipal de San Agustín de Guadalix";"RBMSAG"
"LAS ROZAS DE MADRID. Bibliotecas Municipales";"RBMLRO"
"MIRAFLORES DE LA SIERRA. Biblioteca Municipal";"RBMMIR"
"ARGANDA DEL REY. Bibliotecas Municipales de Arganda del Rey";"RBMARG"
"PINTO. Bibliotecas Municipales de Pinto";"RBMPNT"
"PARLA. Bibliotecas Municipales de Parla";"RBMPAR"
"COLLADO VILLALBA. Biblioteca Municipales de Collado Villalba";"RBMCOV"
"COLMENAR VIEJO. Bibliotecas Municipales de Colmenar Viejo";"RBMCVI"
"VALDEMORO. Bibliotecas Municipales de Valdemoro";"RBMVDE"
"SAN SEBASTIÁN DE LOS REYES. Bibliotecas Municipales de S. Sebastián de los Reyes";"RBMSSR"
"SAN LORENZO DE EL ESCORIAL. Biblioteca Municipal de San Lorenzo de El Escorial";"RBMSLE"
"TORRELODONES. Bibliotecas Municipales de Torrelodones";"RBMTRL"
"COSLADA. Bibliotecas Municipales de Coslada";"RBMCOS"
"MAJADAHONDA. Biblioteca Municipal de Majadahonda";"RBMMAJ"
"TRES CANTOS. Bibliotecas Municipales Tres Cantos";"RBMTRE"
"ARROYOMOLINOS. Biblioteca Municipal de Arroyomolinos";"RBMARR"
"BRUNETE. Biblioteca Municipal de Brunete";"RBMBRU"
"NAVALCARNERO. Biblioteca Municipal de Navalcarnero";"RBMNAL"
"VILLAVICIOSA DE ODÓN. Biblioteca Municipal de Villaviciosa de Odón";"RBMVVO"
"FUENTIDUEÑA DE TAJO. Biblioteca Municipal de Fuentidueña de Tajo";"RBMFNT"
