"Codigo";"Descripcion"
"DVP  ";"DVD Prestable"
"CDP  ";"CD Música Prestable"
"CRP  ";"CDrom Prestable"
"VPR  ";"Vídeo Prestable"
"AUL  ";"Audiolibro"
"MCH  ";"Mochila Prestable"
"JCO  ";"Juegos de consola"
"OTTA ";"Otros tipos. Audiovisuales"
"EBR  ";"Ebook Reader"
"DPA  ";"Disp. bajo petición anticipada"
"OTMA ";"Anejo. Otros tipos"
"PRA  ";"Prestable con autorización"
"OTAMA";"Anejo. Otros tipos. Audiovisuales"
"SCO  ";"No prestable a domicilio"
"OTT  ";"Otros tipos"
"PRR  ";"Préstamo restringido"
"CON  ";"Ejemplar de conservación"
"PRD  ";"Prestable. Mat. especiales"
"PRL  ";"Prestable. Libros"
"MAM  ";"Prestable. Anejos libros"
"MAD  ";"Prestable. Anejos mat. Esp."
"PCO  ";"Préstamo colectivo"
"PRP  ";"Prestable. Periódicas"
"UNE  ";"Prestable. Libros UNED"
"PCI  ";"Puesto de acceso a Internet y/o Ofimática"
"TAB  ";"Tabletas"
"PRLN ";"Prestable. Libros. Novedad"
"UNEAM";"Prestable. Anejo libros UNED"
"ESP  ";"Préstamo especial"
"JUCO ";"Juegos de consola"
"UNENP";"No prestable. Libros UNED"
"JME  ";"Juegos de mesa"
