"Codigo";"Descripcion"
"ROB  ";"Pérdida de carné"
"BIB  ";"Biblioteca"
"DIG  ";"Plataforma e-book"
"INS  ";"Preinscripción"
"TEL  ";"Telebiblioteca"
"LEC  ";"Lector/a"
"INV  ";"Investigador/a"
"ENT  ";"Entidad"
"PIN  ";"Préstamo interbibliotecario"
"PCO  ";"Préstamo colectivo"
"PRO  ";"Profesor"
"ALU  ";"Alumno"
"AUL  ";"Aula"
"FAM  ";"Familia"
"LECI ";"Lector/a menor no autorizado Internet"
"EVE  ";"Usuario eventual"
"C19  ";"Alta temporal estado alarma"
"XCUA ";"CUARENTENA. Solo Bibliotecas"
